,precision,recall,f1-score,support
Bacterial_spot,0.8608695652173913,0.928125,0.8932330827067669,320.0
Early_blight,0.8631578947368421,0.5466666666666666,0.6693877551020407,150.0
Late_blight,0.9518518518518518,0.8954703832752613,0.9228007181328546,287.0
Leaf_Mold,0.8435374149659864,0.8611111111111112,0.8522336769759451,144.0
Septoria_leaf_spot,0.85,0.8277153558052435,0.8387096774193548,267.0
Spider_mites Two-spotted_spider_mite,0.7476038338658147,0.9285714285714286,0.8283185840707965,252.0
Target_Spot,0.7244444444444444,0.7688679245283019,0.7459954233409611,212.0
Tomato_Yellow_Leaf_Curl_Virus,0.9948453608247423,0.9590062111801242,0.9765970904490829,805.0
Tomato_mosaic_virus,0.8305084745762712,0.8596491228070176,0.8448275862068966,57.0
healthy,0.9631147540983607,0.9791666666666666,0.9710743801652894,240.0
accuracy,0.8902706656912948,0.8902706656912948,0.8902706656912948,0.8902706656912948
macro avg,0.8629933594581705,0.8554349870611822,0.8543177974569989,2734.0
weighted avg,0.8953431756296468,0.8902706656912948,0.8895408498866875,2734.0
